MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2013;2,3;5,2;4,15;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2013;7;17,3;12,35;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2013;7,5;8,9;8,1;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2013;163;168;165,25;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2013;0,0101;0,017033;0,013456;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2013;0,0128;0,096;0,0452;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2013;0,011207;0,024434;0,018376;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2013;0,00105;0,004258;0,002623;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2013;0,048;0,40853;0,223338;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2013;0,0638;0,777;0,3787;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2013;0,1;3;1,05;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2013;0,486659;1,272476;0,941657;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2013;0,957239;1,539721;1,253751;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2013;3,416667;8,458333;5,729167;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2013;4,052017;9,06395;6,39074;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2013;2,25;5,2;3,725;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2013;14,8;20;17,4;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2013;7,9;8,1;8;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2013;410;416;413;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2013;0,007983;0,017642;0,012813;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2013;0,008051;0,01799;0,013021;2
