MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2011;4,1;6,2;5,05;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2011;9,1;18,3;13,05;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2011;7,6;8,6;8,15;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2011;170;173;171,5;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2011;0,007308;0,014;0,010996;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2011;0,0115;0,1148;0,058575;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2011;0,009691;0,030271;0,019435;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2011;0,001052;0,002167;0,001499;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2011;0,011793;0,189896;0,087457;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2011;0,0625;0,741;0,3826;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2011;0,2;5,2;2,15;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2011;0,570593;1,248189;0,941615;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2011;0,79758;1,742418;1,118387;3
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2011;4,083333;6;4,78125;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2011;4;4,3;4,15;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2011;18,6;20,2;19,4;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2011;7,9;8,1;8;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2011;404;422;413;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2011;0,007433;0,008125;0,007779;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2011;0,007681;0,008077;0,007879;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2011;0,001289;0,001705;0,001497;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2011;0,129333;0,178986;0,15416;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2011;0,022667;0,1061;0,064384;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2011;5,5;8,366667;6,933334;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2011;2,5;3,1;2,8;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2011;22,1;23,7;22,9;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2011;8,3;8,3;8,3;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2011;343;372;357,5;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2011;0,011992;0,012975;0,012484;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2011;0,0149;0,024;0,01945;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2011;0,001052;0,001052;0,001052;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2011;0,137896;0,4591;0,298498;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2011;0,0569;0,1011;0,079;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2011;7,1;9,7;8,4;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2011;3,7;5,2;4,566667;3
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2011;6;23;15,1;3
Faaker See [tief.St.];pH;pH-Wert;;1;1;2011;7,9;8,3;8,1;3
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2011;335;377;358,333333;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2011;0,00279;0,00406;0,003406;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2011;0,0083;0,0125;0,010433;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2011;0,003608;0,006094;0,004593;3
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2011;0,001052;0,001684;0,001263;3
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2011;0,17408;0,274064;0,228684;3
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2011;0,0091;0,1957;0,0732;3
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2011;0,2;4,9;1,866667;3
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2011;0,215641;2,45242;1,033072;3
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;29;2011;0,155374;1,04771;0,515336;3
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2011;0,732813;2;1,244271;3
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;29;2011;0,879924;1,870066;1,235379;3
Feldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2011;3;4,2;3,675;4
Feldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2011;8,8;18;12,85;4
Feldsee [tief.St.];pH;pH-Wert;;1;1;2011;7,6;8,8;8,125;4
Feldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2011;116;120;118;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2011;0,00845;0,013525;0,011356;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;26;26;2011;0,0078;0,0334;0,017975;4
