MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Ferlacher Badesee [tief.St.];Nitrat-Stickstoff;mg/l;0;5;2022;0,3535;0,296;0,411;2
Ferlacher Badesee [tief.St.];Sauerstoffgehalt;mg/l;5;5;2022;5,4;5,3;5,5;2
Ferlacher Badesee [tief.St.];Phosphor gesamt;mg/l;0;5;2022;0,0095;0,008;0,011;2
Ferlacher Badesee [tief.St.];pH-Wert;;1;1;2022;8,105;8,1;8,11;2
Ferlacher Badesee [tief.St.];Phosphat-Phosphor;mg/l;0;5;2022;0,0015;0,001;0,002;2
Ferlacher Badesee [tief.St.];Sichttiefe;m;0;0;2022;3,35;3,1;3,6;2
Ferlacher Badesee [tief.St.];Wassertemperatur;�C;0;0;2022;22,3;21,6;23;2
Flatschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;1;1;2022;23,65;12,5;34,8;2
Flatschacher See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;224;215;233;2
Flatschacher See [tief.St.];Ammonium-Stickstoff;mg/l;1;1;2022;0,054;0,01;0,098;2
Flatschacher See [tief.St.];Nitrat-Stickstoff;mg/l;1;1;2022;0,165;0,03;0,3;2
Flatschacher See [tief.St.];Sauerstoffgehalt;mg/l;1;1;2022;8;5,7;10,3;2
Flatschacher See [tief.St.];Phosphor gesamt;mg/l;1;1;2022;0,0515;0,045;0,058;2
Flatschacher See [tief.St.];pH-Wert;;1;1;2022;7,945;7,59;8,3;2
Flatschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;1;1;2022;3,412662;2,017328;4,807995;2
Flatschacher See [tief.St.];Phosphat-Phosphor;mg/l;1;1;2022;0,0025;0,002;0,003;2
Flatschacher See [tief.St.];Sichttiefe;m;0;0;2022;1,7;1,4;2;2
Flatschacher See [tief.St.];Wassertemperatur;�C;0;0;2022;20,55;20,1;21;2
Forstsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;5,7;5,7;5,7;1
Forstsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;30;2022;5,7;5,7;5,7;1
Forstsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;280;280;280;1
Forstsee [tief.St.];Ammonium-Stickstoff;mg/l;30;30;2022;0,009;0,009;0,009;1
Forstsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,482;0,482;0,482;1
Forstsee [tief.St.];Sauerstoffgehalt;mg/l;30;30;2022;0,1;0,1;0,1;1
Forstsee [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,009;0,009;0,009;1
Forstsee [tief.St.];Phosphor gesamt;mg/l;30;30;2022;0,007;0,007;0,007;1
Forstsee [tief.St.];pH-Wert;;1;1;2022;8,74;8,74;8,74;1
Forstsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,003;0,003;0,003;1
Forstsee [tief.St.];Sichttiefe;m;0;0;2022;4,9;4,9;4,9;1
