MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Afritzer See [tief.St.];Ammonium-Stickstoff;mg/l;20;20;2021;0,53475;0,058;1,258;4
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;8,2;5;10,8;4
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;20;2021;10,879945;3,575982;16,723427;4
Afritzer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;175,5;165;180;4
Afritzer See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,11825;0,003;0,374;4
Afritzer See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,00225;0,001;0,004;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,0125;0,011;0,014;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;20;20;2021;0,065;0,015;0,147;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;22;2021;0,019874;0,011648;0,028343;4
Afritzer See [tief.St.];pH-Wert;;1;1;2021;8,2575;7,84;8,68;4
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;1,135005;0,509187;2,30972;4
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;20;2021;0,959271;0,47647;1,590947;4
Afritzer See [tief.St.];Sauerstoffgehalt;mg/l;20;20;2021;2,325;0,1;7,6;4
Afritzer See [tief.St.];Sichttiefe;m;0;0;2021;3,5;3;4,5;4
Afritzer See [tief.St.];Wassertemperatur;�C;0;0;2021;15,1;6,5;23,3;4
Aichwaldsee [tief.St.];Ammonium-Stickstoff;mg/l;7;7;2021;0,1365;0,051;0,222;2
Aichwaldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;3,6;2,4;4,8;2
Aichwaldsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;414,5;407;422;2
Aichwaldsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,087;0,074;0,1;2
Aichwaldsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,002;0,002;0,002;2
Aichwaldsee [tief.St.];Phosphor gesamt;mg/l;0;7;2021;0;0;0;0
Aichwaldsee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,01;0,009;0,011;2
Aichwaldsee [tief.St.];pH-Wert;;1;1;2021;7,93;7,86;8;2
Aichwaldsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Aichwaldsee [tief.St.];Sauerstoffgehalt;mg/l;7;7;2021;2,35;0,3;4,4;2
Aichwaldsee [tief.St.];Sichttiefe;m;0;0;2021;3,3;3,1;3,5;2
Aichwaldsee [tief.St.];Wassertemperatur;�C;0;0;2021;20,25;19,4;21,1;2
Badesee Kirschentheuer [tief.St.];Ammonium-Stickstoff;mg/l;10;10;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;10;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0;0;0;0
