MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Badesee Kirschentheuer [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Phosphor gesamt;mg/l;10;10;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];pH-Wert;;1;1;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Phytoplankton Biovolumen;mm�/l;0;10;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Sauerstoffgehalt;mg/l;10;10;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Sichttiefe;m;0;0;2021;0;0;0;0
Badesee Kirschentheuer [tief.St.];Wassertemperatur;�C;0;0;2021;0;0;0;0
Faaker See [tief.St.];Ammonium-Stickstoff;mg/l;29;29;2021;0,01925;0,004;0,063;4
Faaker See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;1;1;1;4
Faaker See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;29;2021;1,018734;0,999975;1,075009;4
Faaker See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;365,5;352;383;4
Faaker See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,24578;0,192524;0,323024;4
Faaker See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,001411;0,001;0,002048;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;0;29;2021;0,002771;0,0025;0,003075;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;29;29;2021;0,007375;0,0025;0,013;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,002723;0,0025;0,003393;4
Faaker See [tief.St.];pH-Wert;;1;1;2021;8,16;7,9;8,36;4
Faaker See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0,172888;0,138471;0,231314;4
Faaker See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;29;2021;0,155276;0,117621;0,209039;4
Faaker See [tief.St.];Sauerstoffgehalt;mg/l;29;29;2021;4,35;0,1;9,2;4
Faaker See [tief.St.];Sichttiefe;m;0;0;2021;4,425;3,5;5,4;4
Faaker See [tief.St.];Wassertemperatur;�C;0;0;2021;14,95;5,6;23,2;4
Feldsee [tief.St.];Ammonium-Stickstoff;mg/l;26;26;2021;0,491;0,037;1,147;4
Feldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;3,8;2;6,1;4
Feldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;26;2021;4,214902;3,995155;4,815955;4
Feldsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;120;115;125;4
Feldsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,194;0,129;0,354;4
Feldsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,00175;0,001;0,003;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;26;26;2021;0,06225;0,009;0,192;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;0;26;2021;0,00897;0,007262;0,01135;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,0095;0,006;0,014;4
Feldsee [tief.St.];pH-Wert;;1;1;2021;7,9775;7,7;8,39;4
Feldsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0,44198;0,112861;0,770278;4
Feldsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;26;2021;0,456241;0,202801;0,70378;4
Feldsee [tief.St.];Sauerstoffgehalt;mg/l;26;26;2021;1,5;0,1;5,7;4
Feldsee [tief.St.];Sichttiefe;m;0;0;2021;4,975;3,6;6,2;4
Feldsee [tief.St.];Wassertemperatur;�C;0;0;2021;14,675;5,7;22,6;4
Ferlacher Badesee [tief.St.];Ammonium-Stickstoff;mg/l;5;5;2021;0,085;0,072;0,098;2
Ferlacher Badesee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;5;2021;3,4;2,6;4,2;2
Ferlacher Badesee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;384;374;394;2
Ferlacher Badesee [tief.St.];Nitrat-Stickstoff;mg/l;0;5;2021;0,426;0,353;0,499;2
Ferlacher Badesee [tief.St.];Phosphat-Phosphor;mg/l;0;5;2021;0,0015;0,001;0,002;2
Ferlacher Badesee [tief.St.];Phosphor gesamt;mg/l;0;5;2021;0,009;0,007;0,011;2
Ferlacher Badesee [tief.St.];pH-Wert;;1;1;2021;8,045;8;8,09;2
Ferlacher Badesee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;5;2021;1,228497;0,660559;1,796434;2
Ferlacher Badesee [tief.St.];Sauerstoffgehalt;mg/l;5;5;2021;6,9;6,1;7,7;2
Ferlacher Badesee [tief.St.];Sichttiefe;m;0;0;2021;3,75;3,5;4;2
Ferlacher Badesee [tief.St.];Wassertemperatur;�C;0;0;2021;21,8;20;23,6;2
Flatschacher See [tief.St.];Ammonium-Stickstoff;mg/l;1;1;2021;0,0445;0,01;0,079;2
Flatschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;1;1;2021;27,75;8,9;46,6;2
Flatschacher See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;221,5;216;227;2
Flatschacher See [tief.St.];Nitrat-Stickstoff;mg/l;1;1;2021;0,341;0,003;0,679;2
Flatschacher See [tief.St.];Phosphat-Phosphor;mg/l;1;1;2021;0,003;0,001;0,005;2
Flatschacher See [tief.St.];Phosphor gesamt;mg/l;1;1;2021;0,051;0,039;0,063;2
Flatschacher See [tief.St.];pH-Wert;;1;1;2021;7,585;7,5;7,67;2
Flatschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;1;1;2021;0;0;0;0
Flatschacher See [tief.St.];Sauerstoffgehalt;mg/l;1;1;2021;7,5;6,8;8,2;2
Flatschacher See [tief.St.];Sichttiefe;m;0;0;2021;1,25;1;1,5;2
Flatschacher See [tief.St.];Wassertemperatur;�C;0;0;2021;18,6;15,5;21,7;2
Forstsee [tief.St.];Ammonium-Stickstoff;mg/l;30;30;2021;0;0;0;0
Forstsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;30;2021;0;0;0;0
Forstsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;0;0;0;0
Forstsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;0;0;0;0
Forstsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0;0;0;0
Forstsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0;0;0;0
Forstsee [tief.St.];Phosphor gesamt;mg/l;30;30;2021;0;0;0;0
Forstsee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0;0;0;0
Forstsee [tief.St.];pH-Wert;;1;1;2021;0;0;0;0
Forstsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Forstsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;30;2021;0;0;0;0
Forstsee [tief.St.];Sauerstoffgehalt;mg/l;30;30;2021;0;0;0;0
Forstsee [tief.St.];Sichttiefe;m;0;0;2021;0;0;0;0
Forstsee [tief.St.];Wassertemperatur;�C;0;0;2021;0;0;0;0
Goggausee [tief.St.];Ammonium-Stickstoff;mg/l;8;8;2021;0,7775;0,183;1,522;4
Goggausee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;5;2021;25,408334;13,766667;55,066667;4
Goggausee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;169,75;163;177;4
Goggausee [tief.St.];Nitrat-Stickstoff;mg/l;0;5;2021;0,003;0,003;0,003;4
Goggausee [tief.St.];Phosphat-Phosphor;mg/l;0;5;2021;0,003438;0,003;0,0045;4
Goggausee [tief.St.];Phosphor gesamt;mg/l;8;8;2021;0,06575;0,028;0,093;4
Goggausee [tief.St.];Phosphor gesamt;mg/l;0;8;2021;0,033865;0,030233;0,038641;4
Goggausee [tief.St.];Phosphor gesamt;mg/l;0;3;2021;0,02475;0,019;0,031;4
Goggausee [tief.St.];Phosphor gesamt;mg/l;0;5;2021;0,026938;0,02025;0,03175;4
Goggausee [tief.St.];pH-Wert;;1;1;2021;8,175;7,45;8,84;4
Goggausee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;5;2021;1,879691;1,000714;2,395373;4
Goggausee [tief.St.];Sauerstoffgehalt;mg/l;8;8;2021;1,15;0,1;4,3;4
Goggausee [tief.St.];Sichttiefe;m;0;0;2021;2,65;1,7;3,8;4
Goggausee [tief.St.];Wassertemperatur;�C;0;0;2021;14,525;7,1;24,5;4
G�sselsdorfer See [tief.St.];Ammonium-Stickstoff;mg/l;1;1;2021;0,008;0,004;0,012;2
G�sselsdorfer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;1;1;2021;7,7;3,9;11,5;2
G�sselsdorfer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;338;327;349;2
G�sselsdorfer See [tief.St.];Nitrat-Stickstoff;mg/l;1;1;2021;0,003;0,003;0,003;2
G�sselsdorfer See [tief.St.];Phosphat-Phosphor;mg/l;1;1;2021;0,002;0,001;0,003;2
G�sselsdorfer See [tief.St.];Phosphor gesamt;mg/l;1;1;2021;0,0115;0,011;0,012;2
G�sselsdorfer See [tief.St.];pH-Wert;;1;1;2021;8,055;7,9;8,21;2
G�sselsdorfer See [tief.St.];Phytoplankton Biovolumen;mm�/l;1;1;2021;1,152896;0,562857;1,742934;2
G�sselsdorfer See [tief.St.];Sauerstoffgehalt;mg/l;1;1;2021;7,45;5,9;9;2
G�sselsdorfer See [tief.St.];Sichttiefe;m;0;0;2021;2,1;2;2,2;2
G�sselsdorfer See [tief.St.];Wassertemperatur;�C;0;0;2021;19,8;15;24,6;2
Greifenburger Badesee [tief.St.];Ammonium-Stickstoff;mg/l;12;12;2021;0,3915;0,205;0,578;2
Greifenburger Badesee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;5;1,2;8,8;2
Greifenburger Badesee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;301,5;299;304;2
Greifenburger Badesee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,587;0,471;0,703;2
Greifenburger Badesee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,003;0,003;0,003;2
Greifenburger Badesee [tief.St.];Phosphor gesamt;mg/l;12;12;2021;0,056;0,054;0,058;2
Greifenburger Badesee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,007;0,007;0,007;2
Greifenburger Badesee [tief.St.];pH-Wert;;1;1;2021;8,225;8,2;8,25;2
Greifenburger Badesee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;12;2021;0;0;0;0
Greifenburger Badesee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Greifenburger Badesee [tief.St.];Sauerstoffgehalt;mg/l;12;12;2021;2;0,1;3,9;2
Greifenburger Badesee [tief.St.];Sichttiefe;m;0;0;2021;5,8;4,2;7,4;2
Greifenburger Badesee [tief.St.];Wassertemperatur;�C;0;0;2021;21,95;19,7;24,2;2
Hafnersee [tief.St.];Ammonium-Stickstoff;mg/l;10;10;2021;1,801;0,61;2,992;2
Hafnersee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;8,85;6,2;11,5;2
Hafnersee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;10;2021;8,076784;5,658312;10,495255;2
Hafnersee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;369,5;359;380;2
Hafnersee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,0945;0,003;0,186;2
Hafnersee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,003;0,003;0,003;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;10;10;2021;0,0295;0,025;0,034;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;0;10;2021;0,0166;0,0164;0,0168;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,016;0,016;0,016;2
Hafnersee [tief.St.];pH-Wert;;1;1;2021;7,995;7,91;8,08;2
Hafnersee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Hafnersee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;10;2021;0;0;0;0
Hafnersee [tief.St.];Sauerstoffgehalt;mg/l;10;10;2021;0,1;0,1;0,1;2
Hafnersee [tief.St.];Sichttiefe;m;0;0;2021;2,6;2,3;2,9;2
Hafnersee [tief.St.];Wassertemperatur;�C;0;0;2021;20,35;20,2;20,5;2
H�rzendorfer See [tief.St.];Ammonium-Stickstoff;mg/l;3;3;2021;0,052667;0,018;0,083;3
H�rzendorfer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;3;2021;27,566667;22,8;31,2;3
H�rzendorfer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;455,25;417;489;4
H�rzendorfer See [tief.St.];Nitrat-Stickstoff;mg/l;0;3;2021;1,786833;0,828875;2,313875;3
H�rzendorfer See [tief.St.];Phosphat-Phosphor;mg/l;0;3;2021;0,002958;0,001;0,005875;3
H�rzendorfer See [tief.St.];Phosphor gesamt;mg/l;0;3;2021;0,0285;0,016;0,035;3
H�rzendorfer See [tief.St.];pH-Wert;;1;1;2021;8,17;7,93;8,5;4
H�rzendorfer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;3;2021;3,109996;2,210245;3,724348;3
H�rzendorfer See [tief.St.];Sauerstoffgehalt;mg/l;3;3;2021;8,375;6,5;10,4;4
H�rzendorfer See [tief.St.];Sichttiefe;m;0;0;2021;1,075;0,9;1,5;4
H�rzendorfer See [tief.St.];Wassertemperatur;�C;0;0;2021;16,15;8,3;24,4;4
Keutschacher See [tief.St.];Ammonium-Stickstoff;mg/l;15;15;2021;0,28325;0,169;0,386;4
Keutschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;15;2021;6,271154;4,338462;7,669231;4
Keutschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;4,425;1,1;7,9;4
Keutschacher See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;312,25;286;332;4
Keutschacher See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,180351;0,081071;0,298714;4
Keutschacher See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,001756;0,001;0,002357;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;15;15;2021;0,027375;0,0025;0,037;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;0;15;2021;0,009367;0,0025;0,012973;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,00542;0,0025;0,007;4
Keutschacher See [tief.St.];pH-Wert;;1;1;2021;8,1675;7,8;8,3;4
Keutschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0,622586;0,360522;0,829182;4
Keutschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;15;2021;0,861926;0,55141;1,278326;4
Keutschacher See [tief.St.];Sauerstoffgehalt;mg/l;15;15;2021;1,425;0,1;5,4;4
Keutschacher See [tief.St.];Sichttiefe;m;0;0;2021;4,25;2,1;5,7;4
Keutschacher See [tief.St.];Wassertemperatur;�C;0;0;2021;15,075;5,3;22,9;4
Klopeiner See [tief.St.];Ammonium-Stickstoff;mg/l;30;30;2021;1,5485;1,36;1,655;4
Klopeiner See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;2,7;1;6,6;4
Klopeiner See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;258;244;272;4
Klopeiner See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,007072;0,003;0,019286;4
Klopeiner See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,001149;0,001;0,001595;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;30;2021;0,013647;0,010153;0,020425;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;20;2021;0,008523;0,005755;0,012467;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,007095;0,0025;0,012214;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;30;30;2021;0,0415;0,026;0,06;4
Klopeiner See [tief.St.];pH-Wert;;1;1;2021;8,2725;8,03;8,48;4
Klopeiner See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;20;2021;0,41019;0,340634;0,523801;4
Klopeiner See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0,455483;0,333461;0,642134;4
Klopeiner See [tief.St.];Sauerstoffgehalt;mg/l;30;30;2021;0,1;0,1;0,1;4
Klopeiner See [tief.St.];Sichttiefe;m;0;0;2021;8,4;6,2;10,4;4
Klopeiner See [tief.St.];Wassertemperatur;�C;0;0;2021;13,15;4,9;21,7;4
Kraiger See [tief.St.];Ammonium-Stickstoff;mg/l;8;8;2021;0,007;0,005;0,009;2
Kraiger See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;0;2021;7,55;7,4;7,7;2
Kraiger See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;7,55;7,4;7,7;2
Kraiger See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;478;461;495;2
Kraiger See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,3525;0,003;0,702;2
Kraiger See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,003;0,003;0,003;2
Kraiger See [tief.St.];Phosphor gesamt;mg/l;8;8;2021;0,0125;0,007;0,018;2
Kraiger See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,0105;0,009;0,012;2
Kraiger See [tief.St.];pH-Wert;;1;1;2021;8,075;7,75;8,4;2
Kraiger See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0;0;0;0
Kraiger See [tief.St.];Sauerstoffgehalt;mg/l;8;8;2021;11,75;9,1;14,4;2
Kraiger See [tief.St.];Sichttiefe;m;0;0;2021;4,2;3,3;5,1;2
Kraiger See [tief.St.];Wassertemperatur;�C;0;0;2021;19,8;16,2;23,4;2
L�ngsee [tief.St.];Ammonium-Stickstoff;mg/l;15;15;2021;1,587;1,15;1,95;4
L�ngsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;6,675;3,2;12;4
L�ngsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;15;2021;4,709914;2,21293;6,984696;4
L�ngsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;419;386;450;4
L�ngsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,0485;0,003;0,114;4
L�ngsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,0015;0,001;0,002;4
L�ngsee [tief.St.];Phosphor gesamt;mg/l;15;15;2021;0,0345;0,024;0,043;4
L�ngsee [tief.St.];Phosphor gesamt;mg/l;0;13;2021;0,016896;0,012021;0,018808;4
L�ngsee [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,01325;0,008;0,021;4
L�ngsee [tief.St.];pH-Wert;;1;1;2021;8,3875;8,01;8,54;4
L�ngsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;15;2021;0,407684;0,220652;0,599515;4
L�ngsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;0,662868;0,412201;0,899838;4
L�ngsee [tief.St.];Sauerstoffgehalt;mg/l;15;15;2021;0,825;0,1;3;4
L�ngsee [tief.St.];Sichttiefe;m;0;0;2021;5,95;4;7,3;4
L�ngsee [tief.St.];Wassertemperatur;�C;0;0;2021;15,8;5,7;27,1;4
Lavam�nder Badeteich S�dufer Steg;Ammonium-Stickstoff;mg/l;2;2;2021;0,005;0,005;0,005;2
Lavam�nder Badeteich S�dufer Steg;Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;2;2021;2,8;1,9;3,7;2
Lavam�nder Badeteich S�dufer Steg;Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;273,5;270;277;2
Lavam�nder Badeteich S�dufer Steg;Nitrat-Stickstoff;mg/l;0;2;2021;0,003;0,003;0,003;2
Lavam�nder Badeteich S�dufer Steg;Phosphat-Phosphor;mg/l;0;2;2021;0,002;0,001;0,003;2
Lavam�nder Badeteich S�dufer Steg;Phosphor gesamt;mg/l;2;2;2021;0,0145;0,014;0,015;2
Lavam�nder Badeteich S�dufer Steg;Phosphor gesamt;mg/l;0;2;2021;0,0145;0,014;0,015;2
Lavam�nder Badeteich S�dufer Steg;pH-Wert;;1;1;2021;8,26;8,16;8,36;2
Lavam�nder Badeteich S�dufer Steg;Phytoplankton Biovolumen;mm�/l;0;2;2021;0,616905;0,498064;0,735746;2
Lavam�nder Badeteich S�dufer Steg;Sauerstoffgehalt;mg/l;2;2;2021;9,05;8,5;9,6;2
Lavam�nder Badeteich S�dufer Steg;Sichttiefe;m;0;0;2021;3,35;3,3;3,4;2
Lavam�nder Badeteich S�dufer Steg;Wassertemperatur;�C;0;0;2021;18,15;15,7;20,6;2
Leonharder See [tief.St.];Ammonium-Stickstoff;mg/l;6;6;2021;0,0505;0,013;0,088;2
Leonharder See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2021;10,6;8,9;12,3;2
Leonharder See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;354,5;347;362;2
Leonharder See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2021;0,0305;0,0305;0,0305;2
Leonharder See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2021;0,001;0,001;0,001;2
Leonharder See [tief.St.];Phosphor gesamt;mg/l;6;6;2021;0,0195;0,016;0,023;2
Leonharder See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,018198;0,016;0,020396;2
Leonharder See [tief.St.];Phosphor gesamt;mg/l;0;6;2021;0,018536;0,016;0,021071;2
Leonharder See [tief.St.];pH-Wert;;1;1;2021;8,14;8,1;8,18;2
Leonharder See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2021;1,444187;1,09062;1,797753;2
Leonharder See [tief.St.];Sauerstoffgehalt;mg/l;6;6;2021;7,85;5,9;9,8;2
Leonharder See [tief.St.];Sichttiefe;m;0;0;2021;3,35;3,3;3,4;2
Leonharder See [tief.St.];Wassertemperatur;�C;0;0;2021;20,05;16,9;23,2;2
Linsendorfer See [tief.St.];Ammonium-Stickstoff;mg/l;5;5;2021;0,0215;0,019;0,024;2
Linsendorfer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;5;2021;1,4;1;1,8;2
Linsendorfer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2021;367,5;356;379;2
Linsendorfer See [tief.St.];Nitrat-Stickstoff;mg/l;0;5;2021;0,494;0,481;0,507;2
Linsendorfer See [tief.St.];Phosphat-Phosphor;mg/l;0;5;2021;0,001;0,001;0,001;2
Linsendorfer See [tief.St.];Phosphor gesamt;mg/l;0;5;2021;0,00575;0,0025;0,009;2
Linsendorfer See [tief.St.];pH-Wert;;1;1;2021;8,095;7,95;8,24;2
