MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;6;2019;4,2;8,3;5,7;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;20;2019;0;0;0;0
Afritzer See [tief.St.];K25;Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2019;164;180;170,25;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2019;0,03;0,741;0,26275;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2019;0,003;0,23236;0,148003;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2019;0,1;7,7;3,825;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2019;0,0099;0,0235;0,015475;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2019;0,0137;0,0893;0,037125;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2019;0,011272;0,023955;0,018915;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2019;7,4;8,8;8,195;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm�/l;0;6;2019;0,355259;2,559308;0,987228;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm�/l;0;20;2019;0,421462;2,296119;1,316194;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2019;0,001;0,006;0,0025;4
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2019;3,3;4,3;3,65;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;�C;0;0;2019;6,1;23,4;14,425;4
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;6;2019;6,1;7,2;6,65;2
Aichwaldsee [tief.St.];K25;Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2019;417;435;426;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2019;0,019;0,334;0,1765;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2019;0,09882;0,239;0,16891;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2019;2,5;10,6;6,55;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2019;0,0115;0,011728;0,011614;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2019;0,0115;0,0117;0,0116;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2019;8,1;8,2;8,15;2
Aichwaldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm�/l;0;6;2019;0,596459;1,916144;1,256302;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2019;0,002;0,0028;0,0024;2
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2019;3,7;3,9;3,8;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;�C;0;0;2019;11,3;23,4;17,35;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;6;2019;4,4;8,1;6,25;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;10;2019;6,763636;10,354545;8,559091;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2019;359;384;371,5;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2019;0,0307;0,153;0,09185;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2019;0,06764;0,27914;0,17339;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2019;0,9;9,5;5,2;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2019;0,0304;0,0305;0,03045;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2019;0,0142;0,0145;0,01435;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2019;8,2;8,3;8,25;2
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm�/l;0;6;2019;0;0;0;0
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm�/l;0;10;2019;0;0;0;0
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2019;0,001;0,0023;0,00165;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2019;3;3,4;3,2;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;�C;0;0;2019;14,9;25,2;20,05;2
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;29;2019;0;0;0;0
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;�g/l;0;6;2019;0,5;0,5;0,5;4
Faaker See [tief.St.];K25;Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2019;344;382;362,75;4
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2019;0,002;0,011;0,00785;4
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2019;0,219471;0,273308;0,247036;4
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2019;0,2;9,5;4,525;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2019;0,003495;0,017164;0,00888;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2019;0,005112;0,017158;0,009664;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2019;0,0092;0,0181;0,0124;4
Faaker See [tief.St.];pH;pH-Wert;;1;1;2019;8,24;8,43;8,3225;4
