MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2012;3,9;4,1;4,033333;3
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2012;6,2;17,9;13,066667;3
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2012;7,5;8,6;8,2;3
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2012;169;175;173;3
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2012;0,01025;0,0133;0,012078;3
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2012;0,0133;0,066;0,031533;3
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2012;0,012618;0,020276;0,015447;3
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2012;0,00105;0,001654;0,001251;3
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2012;0,00308;0,163812;0,084936;3
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2012;0,032;0,627;0,231967;3
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2012;0,2;3,4;1,8;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2012;0,92563;1,373717;1,10267;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2012;1,333446;3,419707;2,557333;3
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2012;4,083333;6,25;5,111111;3
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2012;4,877966;8,522151;7,008767;3
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2012;3,4;4,3;3,85;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2012;16,3;20,3;18,3;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2012;8;8,2;8,1;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2012;394;420;407;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2012;0,010367;0,012267;0,011317;2
