MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2017;3;20;9;3
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2017;3;17,819801;8,192454;3
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2017;165;178;173;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2017;0,0543;0,558;0,285225;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2017;0,00565;0,24736;0,094003;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2017;0,1;5,1;1,95;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2017;0,0157;0,0774;0,0447;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2017;0,012559;0,0298;0,019931;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2017;0,0102;0,0271;0,01525;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2017;7,5;9,1;8,25;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2017;0,320141;0,933451;0,700192;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2017;0,351235;0,760776;0,49541;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2017;0,001;0,0054;0,0021;4
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2017;2,5;4,6;3,625;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2017;5,8;21,3;12,375;4
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2017;1;8;4,5;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2017;409;426;417,5;2
