MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2007;3,2;6,5;4,45;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2007;4,8;21,4;11,75;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2007;7,5;8,8;8,05;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2007;149;156;152,75;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2007;0,008583;0,014583;0,011854;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2007;0,01;0,0485;0,023208;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2007;0,009518;0,017648;0,014456;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2007;0,0015;0,002;0,001625;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2007;0,004108;0,218637;0,076153;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2007;0,013167;0,3405;0,132256;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2007;0,235;11,15;5,935536;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2007;0,25172;0,88217;0,55693;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2007;0,631648;1,34977;0,902297;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2007;2,7;3,9;3,3;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2007;17,3;18,8;18,05;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2007;7,9;8,2;8,05;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2007;400;416;408;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2007;0,008167;0,013667;0,010917;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2007;0,008207;0,013139;0,010673;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2007;0,0015;0,0015;0,0015;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2007;0,058;0,130181;0,094091;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2007;0,009;0,051333;0,030167;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2007;8,333333;9,666667;9;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2007;3,2;3,2;3,2;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2007;18,6;22,6;20,6;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2007;8,1;8,2;8,15;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2007;332;354;343;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2007;0,0105;0,012667;0,011584;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2007;0,013;0,017;0,015;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2007;0,0015;0,001667;0,001584;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2007;0,324542;0,566551;0,445547;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2007;0,03;0,063;0,0465;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2007;8,5;8,6;8,55;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2007;2,5;7,9;5,35;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2007;5,2;19,8;12,525;4
Faaker See [tief.St.];pH;pH-Wert;;1;1;2007;8;8,3;8,15;4
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2007;329;366;350,75;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2007;0,003;0,008583;0,004521;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2007;0,003;0,0115;0,0086;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2007;0,003;0,009607;0,005908;4
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2007;0,0015;0,004;0,002125;4
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2007;0,165191;0,23802;0,207219;4
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2007;0,0272;0,1029;0,050025;4
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2007;1,434;9,67;6,301;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2007;0,11598;0,21762;0,16804;4
