MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2010;3,2;5;4,275;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2010;6,1;20,8;11,4;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2010;7,3;8,8;7,875;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2010;157;164;160,5;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2010;0,008508;0,017908;0,012373;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2010;0,0137;0,0708;0,03495;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2010;0,000499;0,001447;0,001013;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2010;0,00308;0,310585;0,168869;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2010;0,0337;0,364;0,19405;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2010;0,2;2;0,833333;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2010;0,2861;1,47012;0,793748;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2010;2,4;4,9;3,65;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2010;15;19,8;17,4;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2010;7,946;8,1;8,023;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2010;419;426;422,5;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2010;0,009158;0,0224;0,015779;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2010;0,009208;0,021249;0,015229;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2010;0,001052;0,002;0,001526;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2010;0,184583;0,314868;0,249726;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2010;0,0374;0,1228;0,0801;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2010;5,6;8,4;7;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2010;1,9;2,1;2;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2010;17,1;19,7;18,4;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2010;8,153;8,229;8,191;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2010;344;389;366,5;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2010;0,012583;0,012925;0,012754;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2010;0,0133;0,0159;0,0146;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2010;0,000499;0,001052;0,000776;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2010;0,251207;0,776495;0,513851;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2010;0,0215;0,0358;0,02865;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2010;8,6;14,2;11,4;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2010;2,9;9,4;5,633333;3
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2010;6,9;20,8;14,1;3
Faaker See [tief.St.];pH;pH-Wert;;1;1;2010;8;8,5;8,3;3
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2010;341;365;355,666667;3
