MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Feldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;26;26;2009;0,4;8,7;4,3;3
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,74403;2,88101;1,64991;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;26;2009;0,963505;1,740324;1,282699;4
Ferlacher Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;3,3;4,18;3,74;2
Ferlacher Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;18;21,1;19,55;2
Ferlacher Badesee [tief.St.];pH;pH-Wert;;1;1;2009;8;8,1;8,05;2
Ferlacher Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;297;309;303;2
Ferlacher Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,00955;0,010267;0,009909;2
Ferlacher Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,002533;0,002617;0,002575;2
Ferlacher Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,21982;0,307249;0,263535;2
Ferlacher Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2009;0,0432;0,0828;0,063;2
Ferlacher Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2009;4,6;5,9;5,25;2
Flatschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,1;1,4;1,3;3
Flatschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;23,2;23,9;23,5;3
Flatschacher See [tief.St.];pH;pH-Wert;;1;1;2009;7,4;8;7,6;3
Flatschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;220;231;226,333333;3
Flatschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2009;0,0342;0,0423;0,039233;3
Flatschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2009;0,001052;0,0025;0,001535;3
Flatschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2009;0,57478;1,17079;0,803767;3
Flatschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2009;0,0117;0,068;0,038833;3
Flatschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2009;6,1;7,5;6,733333;3
Flatschacher See Vorteich [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;0,6;0,9;0,8;3
Flatschacher See Vorteich [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;20,3;20,4;20,333333;3
Flatschacher See Vorteich [tief.St.];pH;pH-Wert;;1;1;2009;7,1;7,4;7,266667;3
Flatschacher See Vorteich [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;244;283;269,333333;3
Flatschacher See Vorteich [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2009;0,0366;0,0419;0,0387;3
Flatschacher See Vorteich [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2009;0,0021;0,0039;0,002867;3
Flatschacher See Vorteich [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2009;1,89117;2,0495;1,952533;3
Flatschacher See Vorteich [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2009;0,0141;0,0281;0,0217;3
Flatschacher See Vorteich [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2009;5,6;8,1;6,766667;3
Forstsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;4,6;7,2;5,9;2
