Meßstelle;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Wörthersee Saag [tief.St.];Phosphat-Phosphor;mg/l;0;6;2020;0,00125;0,001;0,002;4
Wörthersee Saag [tief.St.];Sichttiefe;m;0;0;2020;3,95;1,8;5,5;4
Wörthersee Saag [tief.St.];Wassertemperatur;°C;0;0;2020;15,075;6,1;21,4;4
Zmulner See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;µg/l;0;5;2020;5,5;5,5;5,5;1
Zmulner See [tief.St.];Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2020;488,5;484;493;2
Zmulner See [tief.St.];Ammonium-Stickstoff;mg/l;5;5;2020;0,7485;0,649;0,848;2
Zmulner See [tief.St.];Nitrat-Stickstoff;mg/l;0;5;2020;0,534875;0,30325;0,7665;2
Zmulner See [tief.St.];Sauerstoffgehalt;mg/l;5;5;2020;5,15;0,1;10,2;2
Zmulner See [tief.St.];Phosphor gesamt;mg/l;0;5;2020;0,023675;0,02325;0,0241;2
Zmulner See [tief.St.];Phosphor gesamt;mg/l;5;5;2020;0,0452;0,0424;0,048;2
Zmulner See [tief.St.];Phosphor gesamt;mg/l;0;6;2020;0,020883;0,020039;0,021726;2
Zmulner See [tief.St.];Phosphor gesamt;mg/l;0;3;2020;0,0165;0,015;0,018;2
Zmulner See [tief.St.];pH-Wert;;1;1;2020;8,01;7,82;8,2;2
Zmulner See [tief.St.];Phytoplankton Biovolumen;mm³/l;0;5;2020;0;0;0;0
Zmulner See [tief.St.];Phosphat-Phosphor;mg/l;0;5;2020;0,00225;0,00225;0,00225;2
Zmulner See [tief.St.];Sichttiefe;m;0;0;2020;3,1;2,6;3,6;2
Zmulner See [tief.St.];Wassertemperatur;°C;0;0;2020;19,5;17,4;21,6;2
