Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,12354;0,281494;0,184403;4
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,003264;0,002351;4
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;2,7;5,4;3,775;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;4,4;19,7;12,275;4
Feldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;26;2016;0,5;8,091095;4,739723;4
Feldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;9;3,875;4
Feldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;119;126;122,75;4
Feldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;26;26;2016;0,0181;1,4325;0,5574;4
Feldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,031;0,27;0,153315;4
Feldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;26;26;2016;0,1;8;2,3;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;26;26;2016;0,0164;0,2375;0,0871;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0069;0,0122;0,0104;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;26;2016;0,010792;0,014825;0,012858;4
Feldsee [tief.St.];pH;pH-Wert;;1;1;2016;7,6;8,8;7,95;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,127497;0,8514;0,584008;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;26;2016;0,60147;1,576148;0,943586;4
Feldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,002;0,00125;4
Feldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,1;8,4;4,95;4
Feldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;6,1;21,3;12,85;4
Ferlacher Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;2;2;2;2
Ferlacher Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;308;346,3;327,15;2
Ferlacher Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2016;0,0389;0,0772;0,05805;2
Ferlacher Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,255;0,37046;0,31273;2
Ferlacher Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2016;4,9;6,9;5,9;2
Ferlacher Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,0078;0,0117;0,00975;2
Ferlacher Badesee [tief.St.];pH;pH-Wert;;1;1;2016;7,86;8;7,93;2
Ferlacher Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0,216678;0,271879;0,244279;2
Ferlacher Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,002;0,0015;2
Ferlacher Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;4,2;4,5;4,35;2
Ferlacher Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;18,6;20,4;19,5;2
Flatschacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;21;23;22;2
Flatschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;212;227;219,5;2
Flatschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,0598;0,0661;0,06295;2
Flatschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;0,3514;0,55;0,4507;2
Flatschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;7,4;8,8;8,1;2
Flatschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0145;0,0479;0,0312;2
Flatschacher See [tief.St.];pH;pH-Wert;;1;1;2016;7,4;7,6;7,5;2
Flatschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0;0;0;0
Flatschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,002;0,0031;0,00255;2
Flatschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,3;1,5;1,4;2
Flatschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;19,3;20,1;19,7;2
Forstsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;30;2016;0,612903;1,096774;0,849462;3
Forstsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;1;4;2;3
Forstsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;262;279;271;3
Forstsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2016;0,0083;0,0537;0,031;2
Forstsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,55193;0,75684;0,654385;2
Forstsee [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2016;0,1;1,5;0,566667;3
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,009;0,0103;0,00965;2
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2016;0,0098;0,0149;0,01235;2
Forstsee [tief.St.];pH;pH-Wert;;1;1;2016;8;8,7;8,433333;3
Forstsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2016;0;0;0;0
Forstsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Forstsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,0025;0,0034;0,00295;2
Forstsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,4;5,5;4,633333;3
Forstsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;17,8;22;20,266667;3
Goggausee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;0,5;49,333333;22,958333;4
Goggausee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;155;179;163,5;4
Goggausee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2016;0,458;1,813;1,082125;4
