Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Lavamünder Badeteich Südufer Steg;Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;2;2016;3;3;3;1
Lavamünder Badeteich Südufer Steg;K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;279;286;282,5;2
Lavamünder Badeteich Südufer Steg;NH4-N;Ammonium-Stickstoff;mg/l;2;2;2016;0,0158;0,0189;0,01735;2
Lavamünder Badeteich Südufer Steg;NO3-N;Nitrat-Stickstoff;mg/l;0;2;2016;0,00565;0,00565;0,00565;2
Lavamünder Badeteich Südufer Steg;O2;Sauerstoffgehalt;mg/l;2;2;2016;7,4;7,7;7,55;2
Lavamünder Badeteich Südufer Steg;P-ges;Phosphor gesamt;mg/l;0;2;2016;0,012;0,0151;0,01355;2
Lavamünder Badeteich Südufer Steg;P-ges;Phosphor gesamt;mg/l;2;2;2016;0,012;0,0151;0,01355;2
Lavamünder Badeteich Südufer Steg;pH;pH-Wert;;1;1;2016;8,2;8,2;8,2;2
Lavamünder Badeteich Südufer Steg;PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;2;2016;0,153998;0,20784;0,180919;2
Lavamünder Badeteich Südufer Steg;PO4-P;Phosphat-Phosphor;mg/l;0;2;2016;0,001;0,0021;0,00155;2
Lavamünder Badeteich Südufer Steg;Sichttiefe;Sichttiefe;m;0;0;2016;3,5;3,8;3,65;2
Lavamünder Badeteich Südufer Steg;Wassertemperatur;Wassertemperatur;°C;0;0;2016;22,1;22,6;22,35;2
Leonharder See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;25;25;25;2
Leonharder See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;346;368;357;2
Leonharder See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;6;6;2016;0,083;0,1238;0,1034;2
Leonharder See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,082;0,141418;0,111709;2
Leonharder See [tief.St.];O2;Sauerstoffgehalt;mg/l;6;6;2016;4,3;5,7;5;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;6;6;2016;0,0319;0,0391;0,0355;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,030164;0,032093;0,031129;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,029556;0,029638;0,029597;2
Leonharder See [tief.St.];pH;pH-Wert;;1;1;2016;8;8,4;8,2;2
Leonharder See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Leonharder See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001836;0,0019;0,001868;2
Leonharder See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,9;2,8;2,35;2
Leonharder See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;17,8;22,4;20,1;2
Linsendorfer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;1;2;1,5;2
Linsendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;372;387;379,5;2
Linsendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2016;0,0143;0,0649;0,0396;2
Linsendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,443;0,76586;0,60443;2
Linsendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2016;0,8;10,2;5,5;2
Linsendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,01;0,01;0,01;2
Linsendorfer See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,1;7,95;2
Linsendorfer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0;0;0;0
Linsendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,002;0,0021;0,00205;2
Linsendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,7;4;3,85;2
Linsendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;16,4;16,6;16,5;2
Magdalenensee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;4;2016;1;3;2;2
Magdalenensee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;537;553;545;2
Magdalenensee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;4;4;2016;0,0198;0,0589;0,03935;2
Magdalenensee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;4;2016;1,1686;1,771872;1,470236;2
Magdalenensee [tief.St.];O2;Sauerstoffgehalt;mg/l;4;4;2016;16,1;17,1;16,6;2
Magdalenensee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;4;2016;0,00692;0,00858;0,00775;2
Magdalenensee [tief.St.];pH;pH-Wert;;1;1;2016;8;8,2;8,1;2
Magdalenensee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;4;2016;0,455706;0,635206;0,545456;2
Magdalenensee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;4;2016;0,001;0,00202;0,00151;2
Magdalenensee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;4;4,4;4,2;2
Magdalenensee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;17,2;22;19,6;2
Maltschacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;11;15;13;2
Maltschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;207;218;212,5;2
Maltschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2016;0,0401;0,431;0,23555;2
Maltschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,00565;0,031604;0,018627;2
Maltschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2016;3,3;11;7,15;2
Maltschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;5;5;2016;0,0313;0,0373;0,0343;2
Maltschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,021783;0,025183;0,023483;2
Maltschacher See [tief.St.];pH;pH-Wert;;1;1;2016;8,6;8,8;8,7;2
Maltschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0;0;0;0
Maltschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,001783;0,001392;2
Maltschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,5;1,7;1,6;2
Maltschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;20,7;23,1;21,9;2
Millstätter See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,625;2,75;1,71875;4
Millstätter See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;30;2016;0,664679;2,329358;1,664517;4
Millstätter See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;162;178;168,6;5
Millstätter See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;50;50;2016;0,002;0,0055;0,004175;4
Millstätter See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,059381;0,310524;0,183563;4
Millstätter See [tief.St.];O2;Sauerstoffgehalt;mg/l;50;50;2016;5,2;6,6;6;5
Millstätter See [tief.St.];O2;Sauerstoffgehalt;mg/l;100;100;2016;0,1;1,5;0,6;5
Millstätter See [tief.St.];P-ges;Phosphor gesamt;mg/l;50;50;2016;0,0025;0,0064;0,00495;4
Millstätter See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;70;2016;0,00501;0,006805;0,00631;4
Millstätter See [tief.St.];P-ges;Phosphor gesamt;mg/l;100;100;2016;0,0064;0,0074;0,007;4
Millstätter See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,005638;0,009452;0,00716;4
Millstätter See [tief.St.];pH;pH-Wert;;1;1;2016;7,9;9,1;8,56;5
Millstätter See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2016;0,385708;0,511423;0,453229;4
Millstätter See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,35515;0,64232;0,462964;4
Millstätter See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;4
Millstätter See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;6,9;10,1;8,32;5
Millstätter See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;6,7;21,5;14,9;5
Moosburger Mühlteich [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;3;9;6;2
Moosburger Mühlteich [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;264;266;265;2
Moosburger Mühlteich [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,0114;0,0177;0,01455;2
Moosburger Mühlteich [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;0,00565;0,13054;0,068095;2
Moosburger Mühlteich [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;8,7;9,6;9,15;2
Moosburger Mühlteich [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0199;0,0308;0,02535;2
Moosburger Mühlteich [tief.St.];pH;pH-Wert;;1;1;2016;8,1;8,3;8,2;2
Moosburger Mühlteich [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0;0;0;0
Moosburger Mühlteich [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,0021;0,0031;0,0026;2
Moosburger Mühlteich [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,2;1,8;1,5;2
Moosburger Mühlteich [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;19,8;22,6;21,2;2
Ossiacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;1;25;8,181818;11
Ossiacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;30;2016;0,5;14,262401;6,426231;11
Ossiacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;219;254;239,518182;11
Ossiacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;45;45;2016;0,0069;0,1917;0,081436;11
Ossiacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,016874;0,37612;0,178766;11
Ossiacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;45;45;2016;0,1;8,9;3,3;9
Ossiacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0088;0,023293;0,013063;11
Ossiacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;45;2016;0,009808;0,01812;0,013143;11
Ossiacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;45;45;2016;0,0121;0,0537;0,027891;11
Ossiacher See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,9;8,428182;11
Ossiacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,436521;2,189644;1,163219;10
Ossiacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2016;0,310164;1,535914;0,875403;10
Ossiacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0064;0,002214;11
Ossiacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;2,8;6,9;4,54;10
Ossiacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;4;22,8;13;10
Pirkdorfer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;2;2016;4;21;12,5;2
Pirkdorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;288;291;289,5;2
Pirkdorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;2;2;2016;0,0074;0,0231;0,01525;2
Pirkdorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;2;2016;0,00565;0,016;0,010825;2
Pirkdorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;2;2;2016;7,9;10,2;9,05;2
Pirkdorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;2;2016;0,0173;0,0351;0,0262;2
Pirkdorfer See [tief.St.];pH;pH-Wert;;1;1;2016;8,2;8,4;8,3;2
Pirkdorfer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;2;2016;0;0;0;0
Pirkdorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;2;2016;0,001;0,0024;0,0017;2
Pirkdorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,1;1,8;1,45;2
Pirkdorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;16,2;21;18,6;2
Pischeldorfer Badeteich [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;3;4;3,5;2
Pischeldorfer Badeteich [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;587;588;587,5;2
Pischeldorfer Badeteich [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,0166;0,0273;0,02195;2
Pischeldorfer Badeteich [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;3,352;3,68026;3,51613;2
Pischeldorfer Badeteich [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;9,1;10,3;9,7;2
Pischeldorfer Badeteich [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0083;0,01;0,00915;2
Pischeldorfer Badeteich [tief.St.];pH;pH-Wert;;1;1;2016;7,8;7,9;7,85;2
Pischeldorfer Badeteich [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0;0;0;0
Pischeldorfer Badeteich [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,001;0,0025;0,00175;2
Pischeldorfer Badeteich [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;2;2,2;2,1;2
Pischeldorfer Badeteich [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;15,2;20,5;17,85;2
Pressegger See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;3;1,875;4
Pressegger See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;389;402;394,5;4
Pressegger See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2016;0,0106;0,0406;0,025175;4
Pressegger See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,25007;0,463;0,34446;4
Pressegger See [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2016;3,6;10,2;6,4;4
Pressegger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0056;0,0072;0,0061;4
Pressegger See [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2016;0,0075;0,0087;0,00825;4
Pressegger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;12;2016;0,005608;0,007202;0,006106;4
Pressegger See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,2;8,025;4
Pressegger See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;12;2016;0,379631;0,764717;0,591554;4
Pressegger See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,379732;0,765031;0,592378;4
Pressegger See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0023;0,001325;4
Pressegger See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;4,8;6,2;5,3;4
Pressegger See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;7;19,8;14,525;4
Rauschelesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;12;2016;0,5;10;5,024158;4
Rauschelesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;10;4,625;4
Rauschelesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;319,8;346;333;4
Rauschelesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2016;0,504;3,2225;1,369625;4
Rauschelesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,199;0,50816;0,33404;4
Rauschelesee [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2016;0,1;3,4;1;4
Rauschelesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0095;0,0142;0,0113;4
Rauschelesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;12;2016;0,010068;0,01503;0,013119;4
Rauschelesee [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2016;0,0189;0,0789;0,044025;4
Rauschelesee [tief.St.];pH;pH-Wert;;1;1;2016;7,5;8,08;7,875;4
Rauschelesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,049752;1,232677;0,473409;4
Rauschelesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;12;2016;0,048534;1,092096;0,457916;4
Rauschelesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,002;0,00125;4
Rauschelesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,4;6,3;4,6;4
Rauschelesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;5,4;23,1;14,1;4
Silbersee Villach [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2016;2;5;3,5;2
Silbersee Villach [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;256;263;259,5;2
Silbersee Villach [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2016;0,0225;0,091;0,05675;2
Silbersee Villach [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2016;0,02;0,08925;0,054625;2
Silbersee Villach [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2016;7,2;10,1;8,65;2
Silbersee Villach [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2016;0,0063;0,0086;0,00745;2
Silbersee Villach [tief.St.];pH;pH-Wert;;1;1;2016;8,4;8,5;8,45;2
Silbersee Villach [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2016;0,159617;0,793734;0,476676;2
Silbersee Villach [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2016;0,001;0,001;0,001;2
Silbersee Villach [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,1;4,8;3,95;2
Silbersee Villach [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;18,5;24;21,25;2
Sonnegger See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;5;10;7,5;2
Sonnegger See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;359;373;366;2
Sonnegger See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,0472;0,0485;0,04785;2
Sonnegger See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;0,328;0,4765;0,40225;2
Sonnegger See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;9,3;11,3;10,3;2
Sonnegger See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0095;0,0144;0,01195;2
Sonnegger See [tief.St.];pH;pH-Wert;;1;1;2016;8;8,1;8,05;2
Sonnegger See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0;0;0;0
Sonnegger See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,001;0,002;0,0015;2
Sonnegger See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,8;1,8;1,8;2
Sonnegger See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;16,9;20,5;18,7;2
St. Andräer Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;2;2016;14;21;17,5;2
St. Andräer Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;453;491;472;2
St. Andräer Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;2;2;2016;0,0181;0,0369;0,0275;2
St. Andräer Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;2;2016;2,632;4,51029;3,571145;2
St. Andräer Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;2;2;2016;11;12,4;11,7;2
St. Andräer Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;2;2016;0,0228;0,0247;0,02375;2
St. Andräer Badesee [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8;7,95;2
St. Andräer Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;2;2016;0;0;0;0
St. Andräer Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;2;2016;0,001;0,0024;0,0017;2
St. Andräer Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,2;1,4;1,3;2
St. Andräer Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;0;0;0;0
St. Johanner Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;9;2016;1;3;2;2
St. Johanner Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;2;2;2;2
St. Johanner Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;423;452,3;437,65;2
St. Johanner Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;9;9;2016;0,0328;0,0339;0,03335;2
St. Johanner Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,994;1,21103;1,102515;2
St. Johanner Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;9;9;2016;8,4;12,3;10,35;2
St. Johanner Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0077;0,0091;0,0084;2
St. Johanner Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;9;9;2016;0,0096;0,0097;0,00965;2
St. Johanner Badesee [tief.St.];pH;pH-Wert;;1;1;2016;8;8,02;8,01;2
St. Johanner Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;9;2016;0,041726;0,149793;0,09576;2
St. Johanner Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,033742;0,170505;0,102124;2
St. Johanner Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,002;0,0015;2
St. Johanner Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;4,8;5,5;5,15;2
St. Johanner Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;19,7;23,7;21,7;2
St. Urban See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2016;8;15;11,5;2
St. Urban See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;266;280;273;2
St. Urban See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2016;0,0077;0,0089;0,0083;2
St. Urban See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2016;0,00565;0,00565;0,00565;2
St. Urban See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2016;7,6;8,3;7,95;2
St. Urban See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2016;0,0223;0,0283;0,0253;2
St. Urban See [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8,1;8;2
St. Urban See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2016;0;0;0;0
St. Urban See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2016;0,002;0,0023;0,00215;2
St. Urban See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,6;1,9;1,75;2
St. Urban See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;21,8;22,1;21,95;2
Trattnigteich [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;3;2016;12;17;14,5;2
Trattnigteich [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;93;98;95,5;2
Trattnigteich [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;3;3;2016;0,0084;0,2083;0,10835;2
Trattnigteich [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;3;2016;0,027744;0,073;0,050372;2
Trattnigteich [tief.St.];O2;Sauerstoffgehalt;mg/l;3;3;2016;7,1;14,6;10,85;2
Trattnigteich [tief.St.];P-ges;Phosphor gesamt;mg/l;3;3;2016;0,0166;0,0218;0,0192;2
Trattnigteich [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2016;0,015163;0,020925;0,018044;2
Trattnigteich [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8,5;8,2;2
Trattnigteich [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;3;2016;0;0;0;0
Trattnigteich [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;3;2016;0,002075;0,00295;0,002513;2
Trattnigteich [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;1,2;2,5;1,85;2
Trattnigteich [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;15,8;18,9;17,35;2
Turnersee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;2;3;2,5;2
Turnersee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;322;377;349,5;2
Turnersee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2016;1,78;1,872;1,826;2
Turnersee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,77852;1,151;0,96476;2
Turnersee [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2016;0,1;0,1;0,1;2
Turnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;12;2016;0,011208;0,011549;0,011379;2
Turnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2016;0,0168;0,034;0,0254;2
Turnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,009;0,01;0,0095;2
Turnersee [tief.St.];pH;pH-Wert;;1;1;2016;8,2;8,4;8,3;2
Turnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;12;2016;0,940832;2,419343;1,680088;2
Turnersee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,438471;0,632604;0,535538;2
Turnersee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001;0,001;2
Turnersee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,8;5,1;4,45;2
Turnersee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;20,31;22,2;21,07;3
